Sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
F1M1	Jeotgalibaca porci	1868793	S	2509	1244	3753	0.17975
F1M1	Jeotgalibaca arthritidis	1868794	S	201	429	630	0.03017
F1M1	Jeotgalibaca sp. PTS2502	1903686	S	78	157	235	0.01126
F1M1	Jeotgalibaca ciconiae	2496265	S	18	6	24	0.00115
F1M1	Jeotgalibaca dankookensis	708126	S	15	2	17	0.00081
F1M1	Carnobacterium maltaromaticum	2751	S	10	6	16	0.00077
F1M1	Lactococcus raffinolactis	1366	S	400	189	589	0.02821
F1M1	Lactococcus lactis	1358	S	14	49	63	0.00302
F1M1	Streptococcus parauberis	1348	S	333	252	585	0.02802
F1M1	Streptococcus suis	1307	S	12	6	18	0.00086
F1M1	Streptococcus equinus	1335	S	11	22	33	0.00158
F1M1	Aerococcus urinaeequi	51665	S	392	431	823	0.03942
F1M1	Aerococcus viridans	1377	S	33	56	89	0.00426
F1M1	Ligilactobacillus ruminis	1623	S	59	11	70	0.00335
F1M1	Weissella jogaejeotgali	1631871	S	13	13	26	0.00125
F1M1	Weissella soli	155866	S	11	3	14	0.00067
F1M1	Pediococcus acidilactici	1254	S	25	10	35	0.00168
F1M1	Amylolactobacillus amylophilus	1603	S	26	21	47	0.00225
F1M1	Leuconostoc carnosum	1252	S	17	15	32	0.00153
F1M1	Latilactobacillus curvatus	28038	S	10	9	19	0.00091
F1M1	Limosilactobacillus mucosae	97478	S	10	3	13	0.00062
F1M1	Enterococcus faecalis	1351	S	62	59	121	0.00580
F1M1	Enterococcus faecium	1352	S	39	135	174	0.00833
F1M1	Enterococcus mundtii	53346	S	31	7	38	0.00182
F1M1	Enterococcus avium	33945	S	10	5	15	0.00072
F1M1	Bacillus paralicheniformis	1648923	S	12	86	98	0.00469
F1M1	Bacillus pumilus	1408	S	30	347	377	0.01806
F1M1	Alkalihalobacillus clausii	79880	S	89	15	104	0.00498
F1M1	Weizmannia coagulans	1398	S	25	10	35	0.00168
F1M1	Caldibacillus thermoamylovorans	35841	S	18	17	35	0.00168
F1M1	Mammaliicoccus sciuri	1296	S	324	244	568	0.02720
F1M1	Staphylococcus arlettae	29378	S	16	63	79	0.00378
F1M1	Jeotgalicoccus saudimassiliensis	1461582	S	10	1	11	0.00053
F1M1	Thermoactinomyces vulgaris	2026	S	341	42	383	0.01834
F1M1	Romboutsia ilealis	1115758	S	248	541	789	0.03779
F1M1	Romboutsia sp. CE17	2724150	S	46	92	138	0.00661
F1M1	Romboutsia hominis	1507512	S	23	38	61	0.00292
F1M1	Paeniclostridium sordellii	1505	S	14	22	36	0.00172
F1M1	Clostridioides difficile	1496	S	12	24	36	0.00172
F1M1	Paraclostridium bifermentans	1490	S	10	17	27	0.00129
F1M1	Blautia producta	33035	S	16	25	41	0.00196
F1M1	Butyrivibrio fibrisolvens	831	S	14	28	42	0.00201
F1M1	Ruminococcus sp. JE7A12	2564099	S	50	24	74	0.00354
F1M1	Turicibacter sp. H121	1712675	S	389	266	655	0.03137
F1M1	Turicibacter sanguinis	154288	S	13	3	16	0.00077
F1M1	Erysipelothrix larvae	1514105	S	16	19	35	0.00168
F1M1	Intestinibaculum porci	2487118	S	10	3	13	0.00062
F1M1	Schnuerera ultunensis	45497	S	14	2	16	0.00077
F1M1	Bifidobacterium pseudolongum	1694	S	4306	809	5115	0.24498
F1M1	Bifidobacterium choerinum	35760	S	437	217	654	0.03132
F1M1	Bifidobacterium adolescentis	1680	S	13	6	19	0.00091
F1M1	Bifidobacterium angulatum	1683	S	11	4	15	0.00072
F1M1	Corynebacterium stationis	1705	S	294	63	357	0.01710
F1M1	Corynebacterium xerosis	1725	S	192	99	291	0.01394
F1M1	Corynebacterium casei	160386	S	108	174	282	0.01351
F1M1	Corynebacterium suranareeae	2506452	S	107	23	130	0.00623
F1M1	Corynebacterium sp. LMM-1652	2487892	S	44	8	52	0.00249
F1M1	Corynebacterium sp. L2-79-05	373068	S	10	323	333	0.01595
F1M1	Corynebacterium camporealensis	161896	S	57	10	67	0.00321
F1M1	Corynebacterium maris	575200	S	54	5	59	0.00283
F1M1	Corynebacterium marinum	349751	S	34	13	47	0.00225
F1M1	Corynebacterium efficiens	152794	S	27	3	30	0.00144
F1M1	Corynebacterium glutamicum	1718	S	25	264	289	0.01384
F1M1	Corynebacterium endometrii	2488819	S	14	1	15	0.00072
F1M1	Corynebacterium humireducens	1223514	S	12	1	13	0.00062
F1M1	Dietzia timorensis	499555	S	26	26	52	0.00249
F1M1	Brevibacterium sp. YB235	1496080	S	50	89	139	0.00666
F1M1	Brevibacterium sp. CS2	2575923	S	19	15	34	0.00163
F1M1	Brevibacterium linens	1703	S	19	27	46	0.00220
F1M1	Brevibacterium aurantiacum	273384	S	17	19	36	0.00172
F1M1	Kocuria rosea	1275	S	31	27	58	0.00278
F1M1	Kocuria palustris	71999	S	20	21	41	0.00196
F1M1	Thermobifida fusca	2021	S	49	5	54	0.00259
F1M1	Flaviflexus sp. H23T48	2496867	S	23	7	30	0.00144
F1M1	Saccharomonospora viridis	1852	S	41	5	46	0.00220
F1M1	Olsenella umbonata	604330	S	45	32	77	0.00369
F1M1	Denitrobacterium detoxificans	79604	S	20	16	36	0.00172
F1M1	Acinetobacter indicus	756892	S	177	329	506	0.02423
F1M1	Luteimonas sp. JM171	1896164	S	12	64	76	0.00364
F1M1	Oligella ureolytica	90244	S	32	35	67	0.00321
F1M1	Bacteroides coprosuis	151276	S	19	63	82	0.00393
F1M1	Petrimonas mucosa	1642646	S	19	11	30	0.00144
F1M1	Sphingobacterium daejeonense	371142	S	33	63	96	0.00460
F1M1	Methanobrevibacter millerae	230361	S	195	76	271	0.01298
F1M1	Methanobrevibacter ruminantium	83816	S	19	6	25	0.00120
F1M1	Methanobrevibacter sp. YE315	1609968	S	16	3	19	0.00091
F1M1	Methanosphaera sp. BMS	1789762	S	13	7	20	0.00096
F1M1	Methanothrix soehngenii	2223	S	28	0	28	0.00134
F1M1	Methanosarcina mazei	2209	S	12	2	14	0.00067
F1M1	Homo sapiens	9606	S	18	17	35	0.00168
