genus,type,Gram
Acetivibrio,anaerobic,positive 
Acholeplasma, facultative anaerobic,positive 
Acidilutibacter, facultative anaerobic,positive 
Acinetobacter,aerobic,negative
Advenella,aerobic,negative
Aerococcus,facultative anaerobic,positive 
Alcaligenes,aerobic,negative
Alkalihalobacillus,aerobic,positive 
Aminipila,anaerobic,negative
Aminobacterium,anaerobic,negative
Amylolactobacillus,anaerobic,positive 
Bacillus, facultative anaerobic,positive 
Bacteroides,anaerobic,negative
Bifidobacterium,anaerobic,positive 
Blautia,anaerobic,positive 
Brevefilum,anaerobic,negative
Brevibacterium,aerobic,positive 
Brucella,aerobic,negative
Butyrivibrio,anaerobic,positive 
Caldibacillus, facultative anaerobic,positive 
Caldimonas,aerobic,negative
Carnobacterium, facultative anaerobic,positive 
Clostridium,anaerobic,positive 
Comamonas,aerobic,negative
Corynebacterium,aerobic,positive 
Croceibacter,aerobic,negative
Dehalococcoides,anaerobic,negative
Denitrobacterium, facultative anaerobic,positive 
Desulfobulbus,anaerobic,negative
Dietzia,aerobic,positive 
Draconibacterium,facultative anaerobic,negative
Empedobacter,facultative anaerobic,negative
Enterococcus,facultative anaerobic,positive 
Erysipelothrix,facultative anaerobic,positive 
Flaviflexus,aerobic,positive 
Fusobacterium,anaerobic,negative
Glutamicibacter,aerobic,positive 
Haploplasma,facultative anaerobic,none
Herbinix,anaerobic,positive 
Heyndrickxia,aerobic,positive 
Jeotgalibaca,aerobic,positive 
Jeotgalicoccus,facultative anaerobic,positive 
Jonesia,facultative anaerobic,positive 
Kocuria,aerobic,positive 
Lacrimispora,anaerobic,none
Lactobacillus,facultative anaerobic,positive 
Lactococcus,facultative anaerobic,positive 
Latilactobacillus,facultative anaerobic,positive 
Leadbetterella,aerobic,negative
Lentilactobacillus,facultative anaerobic,positive 
Leuconostoc,facultative anaerobic,positive 
Levilactobacillus,facultative anaerobic,positive 
Ligilactobacillus,facultative anaerobic,positive 
Limosilactobacillus,anaerobic,positive 
Loigolactobacillus,facultative anaerobic,positive 
Lysinibacillus,facultative anaerobic,positive 
Macrococcus,aerobic,positive 
Mammaliicoccus,aerobic,positive 
Mesotoga,anaerobic,negative
Methanobrevibacter,anaerobic,none
Methanoculleus,anaerobic,none
Methanosarcina,anaerobic,none
Methanosphaera,anaerobic,none
Methanothrix,anaerobic,none
Micromonospora,aerobic,positive 
Mycolicibacterium,aerobic,positive 
Niallia,aerobic,positive 
Nocardiopsis,aerobic,positive 
Novibacillus,facultative anaerobic,negative
Oligella,aerobic,negative
Paenibacillus,facultative anaerobic,positive 
Pantoea,facultative anaerobic,negative
Parabacteroides,anaerobic,negative
Paracholeplasma,facultative anaerobic,none
Paracoccus,aerobic,negative
Parafannyhessea,facultative anaerobic,positive 
Paucilactobacillus,facultative anaerobic,positive 
Pediococcus,facultative anaerobic,positive 
Petrimonas,anaerobic,negative
Petrocella,anaerobic,positive 
Proteiniphilum,facultative anaerobic,negative
Pseudoxanthomonas,aerobic,negative
Rhodococcus,aerobic,positive 
Romboutsia,anaerobic,positive 
Ruminiclostridium,anaerobic,positive 
Ruminococcus,anaerobic,positive 
Saccharomonospora,aerobic,positive 
Schaalia,anaerobic,positive 
Schnuerera,anaerobic,positive 
Solibacillus,aerobic,positive 
Sphaerobacter,aerobic,positive 
Sphingobacterium,aerobic,negative
Staphylococcus,facultative anaerobic,positive 
Streptococcus,facultative anaerobic,positive 
Symbiobacterium,facultative anaerobic,negative
Syntrophomonas,anaerobic,negative
Syntrophotalea,anaerobic,negative
Syntrophus,anaerobic,negative
Tetragenococcus,facultative anaerobic,positive 
Thermacetogenium,anaerobic,positive 
Thermoactinomyces,anaerobic,positive 
Thermobacillus,facultative anaerobic,negative
Thermobifida,aerobic,positive 
Thermobispora,aerobic,positive 
Thermoclostridium,anaerobic,positive 
Thermomonospora,facultative anaerobic,positive 
Trueperella,facultative anaerobic,positive 
Turicibacter,anaerobic,positive 
Ureibacillus,aerobic,negative
Weissella,facultative anaerobic,positive 
Weizmannia,facultative anaerobic,positive 
Acetoanaerobium,anaerobic,positive 
Candidatus Cloacimonas,anaerobic,none
Clostridioides,anaerobic,positive 
Collinsella,anaerobic,positive 
Cryobacterium,aerobic,positive 
Curtobacterium,aerobic,positive 
Cytobacillus,facultative anaerobic,positive 
Defluviitoga,anaerobic,negative
Dehalobacterium,anaerobic,positive 
Desulforamulus,anaerobic,positive 
Faecalibacterium,anaerobic,positive 
Gudongella,anaerobic,positive 
Halothermothrix,anaerobic,negative
Keratinibaculum,anaerobic,positive 
Kroppenstedtia,aerobic,positive 
Lactiplantibacillus,facultative anaerobic,positive 
Mediterraneibacter,anaerobic,positive 
Methanobacterium,anaerobic,none
Methanothermobacter,anaerobic,none
Paeniclostridium,anaerobic,positive 
Paraclostridium,anaerobic,positive 
Petrotoga,anaerobic,negative
Phocaeicola,anaerobic,negative
Pseudoclostridium,anaerobic,negative
Pseudoprevotella,anaerobic,negative
Psychrobacter,aerobic,negative
Sphaerochaeta,anaerobic,negative
Syntrophothermus,anaerobic,negative
Tessaracoccus,aerobic,positive 
Thermaerobacter,aerobic,positive 
Thermoanaerobacterium,anaerobic,positive 
Vagococcus,facultative anaerobic,positive 
Candidatus Cloacimonas,anaerobic,none
Aeribacillus,aerobic,positive 
Aliarcobacter,facultative anaerobic,negative
Amphibacillus,aerobic,positive 
Arthrobacter,aerobic,positive 
Barnesiella,aerobic,negative
Propioniciclava,aerobic,positive 
Campylobacter,facultative anaerobic,negative
Geobacillus,aerobic,positive 
Intestinibaculum,anaerobic,negative
Luteimonas,aerobic,negative
Marinilactibacillus,aerobic,positive 
Methanocorpusculum,anaerobic,negative
Microbacterium,aerobic,positive 
Micrococcus,aerobic,positive 
Moraxella,aerobic,negative
Mycoplasmopsis,facultative anaerobic,none
Myroides,aerobic,negative
Thiopseudomonas,facultative anaerobic,negative
Oceanisphaera,aerobic,negative
Ornithinimicrobium,aerobic,positive 
Oscillibacter,anaerobic,negative
Parageobacillus,aerobic,positive 
Porphyromonas,anaerobic,negative
Proteus,aerobic,negative
Providencia,aerobic,negative
Halopseudomonas,aerobic,negative
Pseudomonas,aerobic,negative
Streptomyces,aerobic,positive 
Thermus,aerobic,negative
Xanthomonas,aerobic,negative
